NAME,SHORTNAME
Agilent Technologies Inc.,Agilent
Alcoa Corporation,Alcoa
Altaba Inc.,Altaba
AAC Holdings Inc.,AAC
AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright
American Airlines Group Inc.,American Airlines
Altisource Asset Management Corp Com,Altisource Asset Management
Atlantic American Corporation,Atlantic American
Aaron's Inc.,Aaron's
Applied Optoelectronics Inc.,Applied Optoelectronics
AAON Inc.,AAON
Advance Auto Parts Inc W/I,Advance Auto Parts
Apple Inc.,Apple
American Assets Trust Inc.,American Assets Trust
Almaden Minerals Ltd.,Almaden Minerals
Atlas Air Worldwide Holdings,Atlas Air Worldwide
iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
Axon Enterprise Inc.,Axon Enterprise
AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units
ABB Ltd,ABB
AbbVie Inc.,AbbVie
AmerisourceBergen Corporation,AmerisourceBergen
Ameris Bancorp,Ameris Bancorp
Alcentra Capital Corp.,Alcentra Capital
Abeona Therapeutics Inc.,Abeona Therapeutics
Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1)
Asbury Automotive Group Inc,Asbury Automotive
Ability Inc.,Ability
ARCA biopharma Inc.,ARCA biopharma
ABM Industries Incorporated,ABM Industries Incorporated
ABIOMED Inc.,ABIOMED
Arbor Realty Trust,Arbor Realty Trust
Abbott Laboratories,Abbott Laboratories
Allegiance Bancshares Inc.,Allegiance Bancshares
Arbutus Biopharma Corporation,Arbutus Biopharma
Associated Capital Group Inc.,Associated Capital
Arcosa Inc.,Arcosa
ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals
Aurora Cannabis Inc.,Aurora Cannabis
Atlantic Capital Bancshares Inc.,Atlantic Capital Bancshares
American Campus Communities Inc,American Campus Communities
Acco Brands Corporation,Acco Brands
Acer Therapeutics Inc.,Acer Therapeutics
Aceto Corporation,Aceto
Arch Capital Group Ltd.,Arch Capital
Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares
Acadia Healthcare Company Inc.,Acadia Healthcare Company
Achillion Pharmaceuticals Inc.,Achillion Pharmaceuticals
Achieve Life Sciences Inc.,Achieve Life Sciences
Acacia Communications Inc.,Acacia Communications
SPDR MSCI ACWI IMI,SPDR MSCI ACWI IMI
AC Immune SA,AC Immune SA
ACI Worldwide Inc.,ACI Worldwide
Axcelis Technologies Inc.,Axcelis
AECOM,AECOM
ACM Research Inc.,ACM Research
Accenture plc Class A (Ireland),Accenture plc (Ireland)
ACNB Corporation,ACNB
Acorda Therapeutics Inc.,Acorda Therapeutics
Aberdeen Income Credit Strategies Fund,Aberdeen Income Credit Strategies Fund
Ares Commercial Real Estate Corporation,Ares Commercial Real Estate
Aclaris Therapeutics Inc.,Aclaris Therapeutics
AcelRx Pharmaceuticals Inc.,AcelRx Pharmaceuticals
Acasti Pharma Inc.,Acasti Pharma
Acacia Research Corporation,Acacia Research
Acme United Corporation.,Acme United Corporation.
AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest
iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund
iShares Edge MSCI Min Vol Global,iShares Edge MSCI Min Vol Global
iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund
AeroCentury Corp.,AeroCentury
Adaptimmune Therapeutics plc,Adaptimmune Therapeutics plc
Adobe Inc.,Adobe
Agree Realty Corporation,Agree Realty
Advanced Emissions Solutions Inc.,Advanced Emissions Solutions
Analog Devices Inc.,Analog Devices
Adial Pharmaceuticals Inc,Adial Pharmaceuticals
Archer-Daniels-Midland Company,Archer-Daniels-Midland Company
ADMA Biologics Inc,ADMA Biologics
Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals
Adamas Pharmaceuticals Inc.,Adamas Pharmaceuticals
Adient plc,Adient plc
ADOMANI Inc.,ADOMANI
Automatic Data Processing Inc.,Automatic Data Processing
Invesco BLDRS Asia 50 ADR Index Fund,Invesco BLDRS Asia 50 Index Fund
Invesco BLDRS Developed Markets 100 ADR Index Fund,Invesco BLDRS Developed Markets 100 Index Fund
Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 Index Fund
Aduro Biotech Inc.,Aduro Biotech
Invesco BLDRS Europe Select ADR Index Fund,Invesco BLDRS Europe Select Index Fund
Alliance Data Systems Corporation,Alliance Data Systems
Autodesk Inc.,Autodesk
Advanced Disposal Services Inc.,Advanced Disposal Services
ADT Inc.,ADT
ADTRAN Inc.,ADTRAN
Addus HomeCare Corporation,Addus HomeCare
Adverum Biotechnologies Inc.,Adverum Biotechnologies
Adams Diversified Equity Fund Inc.,Adams Diversified Equity Fund
Advaxis Inc.,Advaxis
Adams Resources & Energy Inc.,Adams Resources & Energy
Ameren Corporation,Ameren
Aberdeen Emerging Markets Equity Income Fund Inc.,Aberdeen Emerging Markets Equity Income Fund
AEGON N.V.,AEGON N.V.
Aegion Corp,Aegion
Aehr Test Systems,Aehr Test Systems
Advanced Energy Industries Inc.,Advanced Energy Industries
American Equity Investment Life Holding Company,American Equity Investment Life Holding Company
Agnico Eagle Mines Limited,Agnico Eagle Mines Limited
Aethlon Medical Inc.,Aethlon Medical
American Eagle Outfitters Inc.,American Eagle Outfitters
American Electric Power Company Inc.,American Electric Power Company
AerCap Holdings N.V.,AerCap N.V.
Aerie Pharmaceuticals Inc.,Aerie Pharmaceuticals
The AES Corporation,The AES
American Electric Technologies Inc.,American Electric
ADDvantage Technologies Group Inc.,ADDvantage
AudioEye Inc.,AudioEye
Aeterna Zentaris Inc.,Aeterna Zentaris
AllianceBernstein National Municipal Income Fund Inc,AllianceBernstein National Municipal Income Fund
American Financial Group Inc.,American Financial
Atlas Financial Holdings Inc.,Atlas Financial
Armstrong Flooring Inc.,Armstrong Flooring
American Finance Trust Inc.,American Finance Trust
VanEck Vectors-Africa Index,VanEck Vectors-Africa Index
AFLAC Incorporated,AFLAC Incorporated
Affimed N.V.,Affimed N.V.
Apollo Senior Floating Rate Fund Inc.,Apollo Senior Floating Rate Fund
First Majestic Silver Corp. (Canada),First Majestic Silver (Canada)
AGCO Corporation,AGCO
Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund
AgeX Therapeutics Inc.,AgeX Therapeutics
Agenus Inc.,Agenus
DB Agriculture Long ETN due April 1 2038,DB Agriculture Long ETN due April 1 2038
AgroFresh Solutions Inc.,AgroFresh Solutions
iShares Core U.S. Aggregate Bond,iShares Core U.S. Aggregate Bond
Alamos Gold Inc. Class A,Alamos Gold
Agios Pharmaceuticals Inc.,Agios Pharmaceuticals
Aeglea BioTherapeutics Inc.,Aeglea BioTherapeutics
Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage
Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage
AGM Group Holdings Inc.,AGM
Allergan plc,Allergan plc
AGNC Investment Corp.,AGNC Investment
Assured Guaranty Ltd.,Assured Guaranty
ProShares Ultra Silver,ProShares Ultra Silver
Avangrid Inc.,Avangrid
Adecoagro S.A.,Adecoagro S.A.
